49, Craft-repair, Private,40,7298, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
53, Prof-specialty, Local-gov,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
45, Sales, Private,60,-1887, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
43, Exec-managerial, Private,40,0, Some-college,10, Divorced, Not-in-family, Black, Female, United-States, <=50K
71, Adm-clerical, Private,40,0, Assoc-voc,11, Never-married, Not-in-family, White, Female, United-States, <=50K
29, Machine-op-inspct, Private,44,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
27, Other-service, Private,40,0, 5th-6th,3, Never-married, Other-relative, White, Male, Mexico, <=50K
61, ?, ?,10,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
41, Machine-op-inspct, Self-emp-not-inc,40,3103, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
32, Craft-repair, Private,40,0, Some-college,10, Never-married, Unmarried, White, Male, United-States, <=50K
35, Tech-support, Private,40,0, 7th-8th,4, Married-civ-spouse, Husband, White, Male, Mexico, <=50K
46, Exec-managerial, Self-emp-inc,50,0, Bachelors,13, Widowed, Not-in-family, White, Female, ?, <=50K
55, Adm-clerical, State-gov,38,7688, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
32, Handlers-cleaners, Private,40,0, HS-grad,9, Married-spouse-absent, Other-relative, White, Male, United-States, <=50K
48, Sales, Private,40,3103, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
55, Transport-moving, Private,50,5178, Assoc-voc,11, Married-civ-spouse, Husband, White, Male, United-States, >50K
20, Craft-repair, Private,40,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
56, Sales, Self-emp-not-inc,40,0, 10th,6, Divorced, Own-child, White, Male, United-States, <=50K
51, Machine-op-inspct, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
45, Adm-clerical, Local-gov,35,6497, Some-college,10, Divorced, Unmarried, Black, Female, United-States, <=50K
23, Transport-moving, Private,50,0, HS-grad,9, Never-married, Unmarried, White, Male, United-States, <=50K
25, Transport-moving, Private,65,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
58, Exec-managerial, Local-gov,40,7298, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
29, Exec-managerial, Private,10,3325, Bachelors,13, Never-married, Own-child, White, Female, United-States, <=50K
21, Sales, Private,25,0, Some-college,10, Never-married, Own-child, Black, Male, United-States, <=50K
29, Prof-specialty, Private,40,0, Bachelors,13, Never-married, Not-in-family, White, Female, United-States, <=50K
37, Craft-repair, Private,40,0, HS-grad,9, Separated, Other-relative, Black, Male, United-States, <=50K
39, Sales, Self-emp-not-inc,50,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
45, Craft-repair, Private,40,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
37, Prof-specialty, Self-emp-not-inc,50,0, Prof-school,15, Married-civ-spouse, Husband, White, Male, United-States, >50K
20, Adm-clerical, State-gov,40,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
41, Other-service, Local-gov,40,0, 7th-8th,4, Never-married, Unmarried, Black, Female, United-States, <=50K
46, Adm-clerical, Federal-gov,40,0, Some-college,10, Never-married, Unmarried, Black, Female, United-States, <=50K
28, Sales, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
20, ?, ?,30,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
36, Exec-managerial, Private,45,0, Some-college,10, Divorced, Not-in-family, White, Male, United-States, <=50K
33, Exec-managerial, Private,40,0, Bachelors,13, Married-civ-spouse, Wife, White, Female, United-States, >50K
18, Sales, Private,40,0, 10th,6, Never-married, Other-relative, Black, Female, United-States, <=50K
51, Other-service, Self-emp-not-inc,20,0, HS-grad,9, Separated, Unmarried, White, Female, United-States, <=50K
59, ?, ?,41,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
36, Exec-managerial, Federal-gov,40,0, Some-college,10, Divorced, Unmarried, Black, Female, United-States, >50K
33, Adm-clerical, Private,45,-1902, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
22, Craft-repair, Private,50,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
46, Protective-serv, State-gov,40,0, Masters,14, Widowed, Unmarried, White, Male, United-States, <=50K
38, Handlers-cleaners, Private,40,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
55, Tech-support, Private,25,0, Assoc-acdm,12, Married-civ-spouse, Husband, White, Male, United-States, <=50K
23, Craft-repair, Private,40,0, 11th,7, Never-married, Own-child, White, Male, United-States, <=50K
46, Craft-repair, Private,75,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
64, Prof-specialty, Self-emp-not-inc,10,0, 10th,6, Married-civ-spouse, Husband, White, Male, United-States, >50K
37, Transport-moving, Private,55,0, 10th,6, Married-civ-spouse, Husband, White, Male, United-States, <=50K
17, Other-service, Private,35,0, 9th,5, Never-married, Own-child, Black, Male, United-States, <=50K
45, Transport-moving, Local-gov,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
34, Other-service, Private,40,0, 10th,6, Never-married, Unmarried, Black, Female, Jamaica, <=50K
19, Handlers-cleaners, Private,40,0, 11th,7, Never-married, Not-in-family, White, Male, United-States, <=50K
40, Prof-specialty, Self-emp-not-inc,50,0, Assoc-acdm,12, Divorced, Not-in-family, White, Female, United-States, <=50K
21, ?, ?,35,0, HS-grad,9, Married-civ-spouse, Other-relative, White, Female, United-States, <=50K
17, Adm-clerical, Private,20,0, 10th,6, Never-married, Own-child, White, Female, United-States, <=50K
23, Farming-fishing, Private,40,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
49, Exec-managerial, Private,50,15024, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, >50K
39, Tech-support, Private,50,0, HS-grad,9, Divorced, Unmarried, White, Female, United-States, <=50K
38, Protective-serv, Private,40,0, HS-grad,9, Separated, Not-in-family, Black, Male, United-States, <=50K
27, Farming-fishing, Private,50,0, Some-college,10, Married-civ-spouse, Husband, Other, Male, United-States, <=50K
24, Farming-fishing, Self-emp-not-inc,50,0, Bachelors,13, Never-married, Unmarried, White, Male, United-States, <=50K
40, Prof-specialty, Private,38,0, Some-college,10, Divorced, Unmarried, Black, Female, United-States, <=50K
35, ?, ?,30,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
58, Sales, Private,40,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, <=50K
20, ?, ?,45,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
44, Machine-op-inspct, Private,55,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
45, Exec-managerial, Private,60,15024, Masters,14, Married-civ-spouse, Husband, White, Male, England, >50K
20, ?, ?,12,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
33, Prof-specialty, Private,60,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
35, Exec-managerial, Private,40,0, Bachelors,13, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, ?, <=50K
17, Sales, Private,16,0, 11th,7, Never-married, Own-child, White, Female, United-States, <=50K
68, Sales, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
43, Machine-op-inspct, Private,35,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, ?, <=50K
50, Exec-managerial, Local-gov,42,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
35, Adm-clerical, Federal-gov,40,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
29, Handlers-cleaners, Private,40,0, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, <=50K
29, Adm-clerical, Private,35,0, HS-grad,9, Married-civ-spouse, Wife, Asian-Pac-Islander, Female, Vietnam, <=50K
35, ?, ?,55,0, Bachelors,13, Married-civ-spouse, Wife, White, Female, United-States, >50K
28, ?, ?,40,0, HS-grad,9, Separated, Unmarried, White, Female, Mexico, <=50K
44, Exec-managerial, Private,45,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
38, Transport-moving, Private,40,4508, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
21, Other-service, Private,30,0, Some-college,10, Never-married, Not-in-family, White, Female, United-States, <=50K
20, Other-service, Private,40,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
17, Handlers-cleaners, Private,24,0, 10th,6, Never-married, Own-child, White, Male, United-States, <=50K
36, Exec-managerial, Private,40,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
32, Prof-specialty, Private,40,0, Bachelors,13, Never-married, Own-child, White, Male, United-States, <=50K
20, Adm-clerical, Private,20,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
56, Exec-managerial, Private,45,14084, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, >50K
45, Craft-repair, Private,40,0, HS-grad,9, Separated, Unmarried, Black, Female, United-States, <=50K
34, Protective-serv, Private,30,0, Bachelors,13, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
18, Farming-fishing, Self-emp-not-inc,40,0, HS-grad,9, Never-married, Own-child, Asian-Pac-Islander, Male, United-States, <=50K
67, Machine-op-inspct, Private,40,0, HS-grad,9, Separated, Other-relative, White, Female, United-States, <=50K
40, Prof-specialty, Local-gov,40,0, Bachelors,13, Married-civ-spouse, Wife, White, Female, United-States, >50K
48, Transport-moving, Private,55,-1672, 7th-8th,4, Married-civ-spouse, Husband, White, Male, United-States, <=50K
54, Other-service, Self-emp-inc,40,0, HS-grad,9, Divorced, Not-in-family, White, Male, Canada, <=50K
45, Transport-moving, Self-emp-not-inc,45,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
18, Other-service, Private,7,0, 11th,7, Never-married, Own-child, Black, Male, United-States, <=50K
83, Sales, Self-emp-inc,20,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
48, Craft-repair, Private,45,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
23, Machine-op-inspct, Private,16,0, HS-grad,9, Never-married, Own-child, White, Female, United-States, <=50K
30, Other-service, Private,40,0, HS-grad,9, Never-married, Not-in-family, White, Male, Puerto-Rico, <=50K
37, Adm-clerical, Private,37,0, HS-grad,9, Divorced, Unmarried, White, Female, United-States, <=50K
57, Adm-clerical, State-gov,40,-1485, Bachelors,13, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, China, <=50K
34, Sales, Private,30,0, Some-college,10, Never-married, Other-relative, Black, Male, United-States, <=50K
44, Exec-managerial, Private,40,8614, Assoc-voc,11, Divorced, Not-in-family, White, Male, United-States, >50K
51, Exec-managerial, State-gov,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
49, Craft-repair, Self-emp-not-inc,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
40, Sales, Private,40,0, Some-college,10, Divorced, Not-in-family, White, Male, United-States, <=50K
40, Other-service, Private,52,7688, Bachelors,13, Married-civ-spouse, Wife, Asian-Pac-Islander, Female, Japan, >50K
41, Protective-serv, Private,55,0, 11th,7, Married-civ-spouse, Husband, White, Male, United-States, <=50K
24, Other-service, Private,25,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
22, Handlers-cleaners, Private,40,0, 12th,8, Never-married, Own-child, Amer-Indian-Eskimo, Male, United-States, <=50K
80, Farming-fishing, Self-emp-not-inc,35,0, 7th-8th,4, Widowed, Not-in-family, White, Male, United-States, <=50K
53, Craft-repair, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
29, Handlers-cleaners, Private,16,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
18, Other-service, Private,11,0, 10th,6, Never-married, Own-child, White, Male, United-States, <=50K
17, ?, ?,4,0, 10th,6, Never-married, Own-child, White, Female, United-States, <=50K
23, Machine-op-inspct, Private,40,3942, HS-grad,9, Married-civ-spouse, Wife, White, Female, United-States, <=50K
39, Other-service, State-gov,40,0, HS-grad,9, Never-married, Unmarried, Black, Female, United-States, <=50K
30, Machine-op-inspct, Private,40,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
38, Exec-managerial, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
38, Craft-repair, Private,40,7688, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
30, Craft-repair, Private,40,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
84, Prof-specialty, Private,10,0, 7th-8th,4, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
56, Sales, Private,40,0, 10th,6, Married-civ-spouse, Husband, White, Male, United-States, <=50K
18, Other-service, Private,6,0, 11th,7, Never-married, Own-child, White, Female, United-States, <=50K
45, Prof-specialty, Self-emp-not-inc,35,0, Some-college,10, Never-married, Not-in-family, White, Male, United-States, <=50K
24, Prof-specialty, Private,40,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
34, Prof-specialty, Private,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
23, Handlers-cleaners, Private,15,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
49, Sales, Private,45,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
34, Machine-op-inspct, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
21, Craft-repair, Private,40,594, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
41, Exec-managerial, Self-emp-inc,55,-2415, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
23, Adm-clerical, Private,40,0, Bachelors,13, Never-married, Not-in-family, Asian-Pac-Islander, Female, United-States, <=50K
29, Exec-managerial, Private,40,0, HS-grad,9, Never-married, Unmarried, Black, Female, United-States, <=50K
44, Protective-serv, Local-gov,40,0, Assoc-voc,11, Divorced, Own-child, White, Female, Cuba, <=50K
30, Sales, Private,40,0, HS-grad,9, Never-married, Other-relative, White, Male, United-States, <=50K
30, Sales, Private,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
20, Farming-fishing, Private,40,0, HS-grad,9, Never-married, Own-child, Asian-Pac-Islander, Male, United-States, <=50K
21, Sales, Private,40,0, Some-college,10, Never-married, Not-in-family, White, Male, United-States, <=50K
29, Sales, Private,48,0, 9th,5, Never-married, Not-in-family, White, Female, United-States, <=50K
29, Sales, Private,40,0, Some-college,10, Never-married, Not-in-family, White, Female, United-States, <=50K
32, Adm-clerical, Private,40,0, Some-college,10, Divorced, Unmarried, White, Female, United-States, <=50K
25, Adm-clerical, Private,40,0, Masters,14, Never-married, Own-child, White, Male, United-States, <=50K
19, Handlers-cleaners, Private,35,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
50, Sales, Private,50,0, Some-college,10, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, United-States, >50K
37, Craft-repair, Private,50,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
22, Adm-clerical, Private,40,0, Some-college,10, Never-married, Not-in-family, White, Female, United-States, <=50K
35, Craft-repair, Private,38,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
61, Sales, Private,50,0, 7th-8th,4, Married-civ-spouse, Husband, White, Male, United-States, >50K
25, Craft-repair, Private,40,0, Assoc-acdm,12, Never-married, Own-child, White, Male, United-States, <=50K
58, ?, ?,12,0, HS-grad,9, Widowed, Not-in-family, White, Female, United-States, <=50K
54, Adm-clerical, Private,60,7298, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
28, Sales, Private,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
36, Machine-op-inspct, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, Black, Male, Haiti, <=50K
61, Exec-managerial, Private,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
43, Exec-managerial, Self-emp-not-inc,35,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
47, Prof-specialty, Self-emp-not-inc,35,0, Doctorate,16, Married-civ-spouse, Husband, White, Male, United-States, >50K
19, Handlers-cleaners, Private,30,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
22, Protective-serv, Local-gov,43,0, Some-college,10, Never-married, Other-relative, White, Female, United-States, <=50K
31, Machine-op-inspct, Private,43,0, Assoc-voc,11, Divorced, Unmarried, White, Male, United-States, <=50K
25, Craft-repair, Self-emp-not-inc,35,0, HS-grad,9, Separated, Own-child, White, Male, United-States, <=50K
59, Craft-repair, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
68, Transport-moving, Private,20,0, 10th,6, Divorced, Not-in-family, White, Male, United-States, <=50K
48, Prof-specialty, Self-emp-not-inc,60,-1902, Doctorate,16, Married-civ-spouse, Husband, White, Male, United-States, >50K
38, Exec-managerial, Local-gov,40,0, Assoc-voc,11, Divorced, Own-child, White, Male, United-States, <=50K
36, Other-service, Private,40,0, HS-grad,9, Widowed, Not-in-family, White, Female, United-States, <=50K
39, Prof-specialty, Local-gov,45,0, Some-college,10, Divorced, Own-child, White, Female, United-States, <=50K
46, Machine-op-inspct, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
31, Craft-repair, Private,52,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
28, Craft-repair, Private,60,0, 11th,7, Married-civ-spouse, Not-in-family, White, Male, United-States, >50K
31, Adm-clerical, Private,40,0, Some-college,10, Divorced, Unmarried, Black, Female, United-States, <=50K
20, ?, ?,32,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
69, ?, ?,25,0, Prof-school,15, Married-civ-spouse, Wife, White, Female, ?, <=50K
36, Exec-managerial, Private,50,0, Bachelors,13, Never-married, Other-relative, White, Male, ?, <=50K
27, ?, ?,40,0, Masters,14, Never-married, Not-in-family, Other, Female, Japan, <=50K
31, Craft-repair, Private,40,0, HS-grad,9, Separated, Unmarried, White, Female, Mexico, <=50K
36, Exec-managerial, Private,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
38, Craft-repair, Self-emp-not-inc,40,4064, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
51, Sales, Self-emp-not-inc,60,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
50, Adm-clerical, State-gov,40,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
62, Adm-clerical, Private,38,0, HS-grad,9, Never-married, Not-in-family, White, Female, United-States, <=50K
57, Craft-repair, Private,43,0, 10th,6, Married-civ-spouse, Husband, White, Male, United-States, <=50K
28, Other-service, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
51, Exec-managerial, State-gov,55,7688, Doctorate,16, Married-civ-spouse, Husband, White, Male, United-States, >50K
54, Craft-repair, Self-emp-not-inc,52,15024, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
32, Prof-specialty, Private,35,0, Assoc-acdm,12, Divorced, Unmarried, Black, Female, United-States, <=50K
24, Other-service, Private,40,0, HS-grad,9, Never-married, Own-child, White, Male, Mexico, <=50K
27, Other-service, Private,20,0, Bachelors,13, Never-married, Own-child, White, Female, United-States, <=50K
23, Craft-repair, Private,40,0, HS-grad,9, Never-married, Unmarried, White, Male, United-States, <=50K
18, ?, ?,38,-1602, HS-grad,9, Never-married, Own-child, Asian-Pac-Islander, Female, United-States, <=50K
60, Exec-managerial, Self-emp-inc,60,7298, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
33, Protective-serv, Local-gov,60,0, Bachelors,13, Divorced, Unmarried, White, Female, Germany, <=50K
44, Protective-serv, Local-gov,40,15024, Bachelors,13, Married-civ-spouse, Wife, Black, Female, United-States, >50K
51, Prof-specialty, Local-gov,70,0, Masters,14, Married-civ-spouse, Wife, White, Female, United-States, >50K
41, Craft-repair, Private,40,0, 12th,8, Separated, Not-in-family, Black, Male, United-States, <=50K
27, Other-service, Private,50,0, HS-grad,9, Never-married, Not-in-family, White, Female, United-States, >50K
27, Craft-repair, Private,50,0, Bachelors,13, Married-civ-spouse, Other-relative, White, Male, United-States, <=50K
63, Craft-repair, Self-emp-not-inc,40,0, 7th-8th,4, Married-civ-spouse, Husband, White, Male, United-States, <=50K
54, Other-service, Private,40,0, HS-grad,9, Widowed, Unmarried, White, Female, United-States, <=50K
42, Prof-specialty, Federal-gov,40,0, Assoc-voc,11, Divorced, Unmarried, Amer-Indian-Eskimo, Female, United-States, <=50K
38, Exec-managerial, Private,40,0, Assoc-voc,11, Never-married, Other-relative, Asian-Pac-Islander, Female, United-States, <=50K
23, Other-service, Self-emp-not-inc,50,0, HS-grad,9, Divorced, Unmarried, White, Female, United-States, <=50K
43, Craft-repair, Private,40,0, Assoc-voc,11, Married-civ-spouse, Husband, White, Male, United-States, <=50K
51, Prof-specialty, Private,16,0, Bachelors,13, Divorced, Not-in-family, White, Female, United-States, <=50K
34, Machine-op-inspct, Private,30,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
30, Handlers-cleaners, Private,45,0, Assoc-voc,11, Never-married, Own-child, White, Male, United-States, <=50K
59, Protective-serv, Private,40,0, 10th,6, Married-spouse-absent, Not-in-family, Asian-Pac-Islander, Male, India, <=50K
51, Transport-moving, Local-gov,40,0, 9th,5, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
35, Other-service, Private,20,0, HS-grad,9, Married-spouse-absent, Unmarried, Black, Female, United-States, <=50K
32, Prof-specialty, Local-gov,48,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, <=50K
34, Machine-op-inspct, Private,25,0, HS-grad,9, Divorced, Not-in-family, White, Female, United-States, <=50K
22, ?, ?,40,0, HS-grad,9, Never-married, Own-child, White, Male, Mexico, <=50K
36, Machine-op-inspct, Private,40,5178, HS-grad,9, Married-civ-spouse, Husband, Black, Male, United-States, >50K
36, Prof-specialty, Self-emp-not-inc,35,0, Doctorate,16, Married-civ-spouse, Husband, White, Male, United-States, <=50K
33, Craft-repair, Private,40,3411, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
43, Handlers-cleaners, Private,60,0, Assoc-acdm,12, Married-civ-spouse, Husband, White, Male, United-States, <=50K
36, Craft-repair, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
18, Sales, Private,10,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
29, Prof-specialty, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
38, Prof-specialty, Private,90,-2559, 10th,6, Never-married, Not-in-family, White, Male, United-States, >50K
46, Machine-op-inspct, Private,40,0, 9th,5, Married-civ-spouse, Wife, White, Female, United-States, <=50K
40, Sales, Self-emp-not-inc,45,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
37, Prof-specialty, Local-gov,45,4865, Bachelors,13, Never-married, Not-in-family, White, Female, United-States, <=50K
45, Machine-op-inspct, Private,44,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
21, Handlers-cleaners, Private,30,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
40, Other-service, Private,40,0, Some-college,10, Separated, Not-in-family, White, Female, United-States, <=50K
31, Farming-fishing, Private,40,0, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, <=50K
56, Other-service, Self-emp-not-inc,45,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
38, Exec-managerial, Private,55,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
51, Prof-specialty, Self-emp-not-inc,80,0, Prof-school,15, Divorced, Not-in-family, White, Male, United-States, >50K
57, Other-service, Private,35,0, 1st-4th,2, Married-spouse-absent, Not-in-family, White, Male, ?, <=50K
33, Handlers-cleaners, Private,35,0, HS-grad,9, Separated, Unmarried, White, Male, Puerto-Rico, <=50K
34, Prof-specialty, Private,50,0, Doctorate,16, Never-married, Not-in-family, White, Male, United-States, >50K
46, Craft-repair, Private,40,4064, HS-grad,9, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
17, Adm-clerical, Private,15,0, 11th,7, Never-married, Own-child, White, Female, United-States, <=50K
24, Handlers-cleaners, Self-emp-not-inc,45,0, Some-college,10, Separated, Own-child, White, Male, United-States, <=50K
41, Exec-managerial, Private,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
21, Craft-repair, Private,40,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
65, Craft-repair, Self-emp-not-inc,45,0, 9th,5, Married-civ-spouse, Husband, White, Male, United-States, <=50K
38, Sales, Private,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, Poland, <=50K
67, Farming-fishing, Self-emp-not-inc,55,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
39, Craft-repair, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
35, Farming-fishing, State-gov,40,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
23, Sales, Private,50,0, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, <=50K
40, Prof-specialty, Private,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
28, Other-service, Private,35,0, Some-college,10, Never-married, Unmarried, White, Female, United-States, <=50K
53, Craft-repair, Private,36,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
32, Exec-managerial, Private,50,15024, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
26, Adm-clerical, Private,20,0, Bachelors,13, Never-married, Not-in-family, White, Female, United-States, <=50K
54, Tech-support, Private,42,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, >50K
60, Exec-managerial, Private,50,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, >50K
37, Exec-managerial, Private,35,0, 10th,6, Divorced, Unmarried, White, Female, United-States, <=50K
22, Adm-clerical, Private,20,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
51, Prof-specialty, State-gov,40,0, Masters,14, Never-married, Not-in-family, White, Male, United-States, >50K
46, Protective-serv, Private,40,0, Some-college,10, Married-civ-spouse, Husband, Black, Male, United-States, >50K
35, Machine-op-inspct, Private,46,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
19, Adm-clerical, Private,40,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
25, Exec-managerial, Private,50,0, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, <=50K
65, ?, ?,40,10605, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
21, Sales, Private,20,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
41, Craft-repair, Private,40,0, HS-grad,9, Divorced, Unmarried, White, Female, United-States, <=50K
25, Exec-managerial, Self-emp-inc,35,0, Bachelors,13, Never-married, Own-child, Asian-Pac-Islander, Male, Taiwan, <=50K
33, Adm-clerical, Private,42,-1579, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
58, Adm-clerical, Private,48,0, 11th,7, Married-civ-spouse, Husband, White, Male, United-States, <=50K
18, Craft-repair, Private,20,0, 11th,7, Never-married, Own-child, White, Male, United-States, <=50K
